"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Attorney General's Office","Government Legal Department","Health & Safety Executive","47","AO","21850","23800","Legal Support Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Health & Safety Executive","47","EO","25290","30000","Legal Officer","0.67","Law"
"Attorney General's Office","Government Legal Department","Health & Safety Executive","47","G6","61200","75200","Senior Legal Adviser","4.63","Law"
"Attorney General's Office","Government Legal Department","Health & Safety Executive","47","G7","48400","61000","Legal Adviser","4.60","Law"
"Attorney General's Office","Government Legal Department","Health & Safety Executive","47","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Health & Safety Executive","47","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Her Majesty's Treasury Legal Advisers  - Public Finance & General Team","8","EO","25290","30000","Legal Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Her Majesty's Treasury Legal Advisers  - Public Finance & General Team","8","G6","61200","75200","Senior Legal Adviser","8.56","Law"
"Attorney General's Office","Government Legal Department","Her Majesty's Treasury Legal Advisers  - Public Finance & General Team","8","G7","48400","61000","Legal Adviser","1.00","Law"
"Attorney General's Office","Government Legal Department","Her Majesty's Treasury Legal Advisers  - Public Finance & General Team","8","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Her Majesty's Treasury Legal Advisers - EU, Exit Legislation Team","142","EO","25290","30000","Legal Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Her Majesty's Treasury Legal Advisers - EU, Exit Legislation Team","142","G6","61200","75200","Senior Legal Adviser","5.70","Law"
"Attorney General's Office","Government Legal Department","Her Majesty's Treasury Legal Advisers - EU, Exit Legislation Team","142","G7","48400","61000","Legal Adviser","5.61","Law"
"Attorney General's Office","Government Legal Department","Her Majesty's Treasury Legal Advisers - Financial Services 1 - Insurance Markets & Mutuals Team","5","G6","61200","75200","Senior Legal Adviser","3.40","Law"
"Attorney General's Office","Government Legal Department","Her Majesty's Treasury Legal Advisers - Financial Services 1 - Insurance Markets & Mutuals Team","5","G7","48400","61000","Legal Adviser","3.80","Law"
"Attorney General's Office","Government Legal Department","Her Majesty's Treasury Legal Advisers - Financial Services 2 - Banking Sanctions & Criminal Finance","6","G6","61200","75200","Senior Legal Adviser","6.83","Law"
"Attorney General's Office","Government Legal Department","Her Majesty's Treasury Legal Advisers - Financial Services 2 - Banking Sanctions & Criminal Finance","6","G7","48400","61000","Legal Adviser","3.00","Law"
"Attorney General's Office","Government Legal Department","Her Majesty's Treasury Legal Advisers - Financial Services 2 - Banking Sanctions & Criminal Finance","6","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Her Majesty's Treasury Legal Advisers - Financial Services 3 - Financial Stability & Sfinancial services Bill","7","G6","61200","75200","Senior Legal Adviser","5.80","Law"
"Attorney General's Office","Government Legal Department","Her Majesty's Treasury Legal Advisers - Financial Services 3 - Financial Stability & Sfinancial services Bill","7","G7","48400","61000","Legal Adviser","2.00","Law"
"Attorney General's Office","Government Legal Department","Her Majesty's Treasury Legal Advisers - Financial Services 3 - Financial Stability & Sfinancial services Bill","7","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Home Office Legal Advisers","95","EO","25290","30000","Legal Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Home Office Legal Advisers  - Border & Enforcement","104","G6","61200","75200","Senior Legal Adviser","2.21","Law"
"Attorney General's Office","Government Legal Department","Home Office Legal Advisers  - Border & Enforcement","104","G7","48400","61000","Legal Adviser","5.60","Law"
"Attorney General's Office","Government Legal Department","Home Office Legal Advisers  - Border & Enforcement","104","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Home Office Legal Advisers  - EU & International","106","G6","61200","75200","Senior Legal Adviser","4.00","Law"
"Attorney General's Office","Government Legal Department","Home Office Legal Advisers  - EU & International","106","G7","48400","61000","Legal Adviser","3.60","Law"
"Attorney General's Office","Government Legal Department","Home Office Legal Advisers  - EU & International","106","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Home Office Legal Advisers  - Immigration & Asylum","105","G6","61200","75200","Senior Legal Adviser","4.20","Law"
"Attorney General's Office","Government Legal Department","Home Office Legal Advisers  - Immigration & Asylum","105","G7","48400","61000","Legal Adviser","8.40","Law"
"Attorney General's Office","Government Legal Department","Home Office Legal Advisers  - Northern Ireland Office & Identity","109","G6","61200","75200","Senior Legal Adviser","3.40","Law"
"Attorney General's Office","Government Legal Department","Home Office Legal Advisers  - Northern Ireland Office & Identity","109","G7","48400","61000","Legal Adviser","1.80","Law"
"Attorney General's Office","Government Legal Department","Home Office Legal Advisers  - Policing & Crime Reduction & Fire","108","G6","61200","75200","Senior Legal Adviser","6.49","Law"
