"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Attorney General's Office","Government Legal Department","Ministry of Defence Legal Advisers - Commercial Law Team","76","G6","61200","75200","Senior Legal Adviser","6.21","Law"
"Attorney General's Office","Government Legal Department","Ministry of Defence Legal Advisers - Commercial Law Team","76","G7","48400","61000","Legal Adviser","14.54","Law"
"Attorney General's Office","Government Legal Department","Ministry of Defence Legal Advisers - Commercial Law Team","76","LO","42420","42420","Legal Manager","3.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Defence Legal Advisers - General Law Team","72","G6","61200","75200","Senior Legal Adviser","3.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Defence Legal Advisers - General Law Team","72","G7","48400","61000","Legal Adviser","2.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Defence Legal Advisers - General Law Team","72","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Defence Legal Advisers - Legal Advisor's Office in Cyprus","75","G6","61200","75200","Senior Legal Adviser","2.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Defence Legal Advisers - Legal Advisor's Office in Cyprus","75","G7","48400","61000","Legal Adviser","2.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Defence Legal Advisers - Operational and International Humanitarian Law Team","71","G6","61200","75200","Senior Legal Adviser","5.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Defence Legal Advisers - Operational and International Humanitarian Law Team","71","SEO","36250","43000","Legal Manager","4.00","Law"
"Attorney General's Office","Government Legal Department","Ministry of Defence Legal Advisers - Property Team","139","G7","48400","61000","Legal Adviser","3.43","Law"
